,usageclass,checkouttype,materialtype,checkoutyear,checkoutmonth,checkouts,title,isbn,creator,subjects,publisher,publicationyear
2676,Digital,OverDrive,EBOOK,2018,1,1,"Fire Me Up: Pine Mountain Series, Book 4",,Kimberly Kincaid,"Fiction, Literature, Romance","Random House, Inc.",2015
2683,Digital,OverDrive,EBOOK,2018,1,3,"Not a Creature Was Purring: Paws & Claws Mystery Series, Book 5",,Krista Davis,"Fiction, Literature, Mystery","Penguin Group (USA), Inc.",2017
2694,Digital,OverDrive,EBOOK,2018,1,1,"Night Night, Sleep Tight: A Novel of Suspense",,Hallie Ephron,"Fiction, Mystery, Suspense, Thriller",HarperCollins Publishers Inc.,2015
2698,Digital,OverDrive,EBOOK,2018,1,1,"Pouncing on Murder: Bookmobile Cat Mystery Series, Book 4",,Laurie Cass,"Fiction, Mystery","Penguin Group (USA), Inc.",2015
2699,Digital,OverDrive,EBOOK,2018,1,2,Belle de Jour: Diary of an Unlikely Call Girl,,Anonymous,"Biography & Autobiography, Nonfiction, Sociology","Hachette Digital, Inc.",2013
2701,Digital,OverDrive,EBOOK,2018,1,1,Lost and Found,,Jayne Ann Krentz,"Fiction, Romance, Suspense","Penguin Group (USA), Inc.",2013
2706,Digital,OverDrive,EBOOK,2018,1,1,Season of the Sandstorms,,Mary Pope Osborne,"Historical Fiction, Juvenile Fiction","Random House, Inc.",2009
2707,Digital,OverDrive,EBOOK,2018,1,1,An Illicit Temptation,,Jeannie Lin,"Fiction, Historical Fiction, Romance","Harlequin Enterprises, Ltd.",2015
2709,Digital,OverDrive,EBOOK,2018,1,1,Fast as the Flash! (DC Super Friends),,Christy Webster,"Comic and Graphic Books, Juvenile Fiction, Juvenile Literature","Random House, Inc.",2018
2715,Digital,OverDrive,EBOOK,2018,1,2,"Danger in the Darkest Hour: Magic Tree House: Super Edition Series, Book 1",,Mary Pope Osborne,"Historical Fiction, Juvenile Fiction","Random House, Inc.",2015
2726,Digital,OverDrive,EBOOK,2018,1,1,"The Old Deep and Dark: Jane Lawless Mystery, Book 22",,Ellen Hart,"Fiction, Literature, Mystery",Macmillan Publishers,2014
2727,Digital,OverDrive,EBOOK,2018,1,1,One Man's America: The Pleasures and Provocations of Our Singular Nation,,George Will,"History, Nonfiction, Politics, Sociology","Random House, Inc.",2008
2730,Digital,OverDrive,EBOOK,2018,1,1,Frommer's Italy 2013,,Donald Strachan,"Nonfiction, Travel","John Wiley & Sons, Inc.",2012
2733,Digital,OverDrive,EBOOK,2018,1,11,The Good Rain: Across Time and Terrain in the Pacific Northwest,,Timothy Egan,"Nature, Nonfiction","Random House, Inc.",2011
2734,Digital,OverDrive,EBOOK,2018,1,2,"Mightier Than the Sword: Clifton Chronicles, Book 5",,Jeffrey Archer,"Fiction, Suspense",Macmillan Publishers,2015
2738,Digital,OverDrive,EBOOK,2018,1,4,The Odyssey of Echo Company: The 1968 Tet Offensive and the Epic Battle to Survive the Vietnam War,,Doug Stanton,"History, Military, Nonfiction","Simon & Schuster, Inc.",2017
2742,Digital,OverDrive,EBOOK,2018,1,1,"Kenneth Clark: Life, Art and Civilisation",,James Stourton,"Art, Biography & Autobiography, History, Nonfiction","Random House, Inc.",2016
2743,Digital,OverDrive,EBOOK,2018,1,1,The Magician's Workbook: A Modern Grimoire,,Steve Savedow,"New Age, Nonfiction",Red Wheel Weiser Conari,2012
2749,Digital,OverDrive,EBOOK,2018,1,1,All Through the Night: A Suspense Story,,Mary Higgins Clark,"Fiction, Suspense","Simon & Schuster, Inc.",2014
2753,Digital,OverDrive,EBOOK,2018,1,1,"The Saint: Highland Guard Series, Book 6",,Monica McCarty,"Fiction, Historical Fiction, Romance","Random House, Inc.",2013
2754,Digital,OverDrive,EBOOK,2018,1,3,The Seattle Street-Smart Naturalist: Field Notes from the City,,David B. Williams,"Nature, Nonfiction",Lightning Source Inc,2017
2761,Digital,OverDrive,EBOOK,2018,1,4,Wrongful Death: A Novel,,Robert Dugoni,"Fiction, Literature, Suspense, Thriller","Simon & Schuster, Inc.",2014
2762,Digital,OverDrive,EBOOK,2018,1,2,"Stay Strong, Geronimo!: Geronimo Stilton Micekings Series, Book 4",,Geronimo Stilton,"Humor (Fiction), Juvenile Fiction, Juvenile Literature","Scholastic, Inc. (US)",2017
2767,Digital,OverDrive,EBOOK,2018,1,1,"If Looks Could Kill: Bailey Weggins Mystery Series, Book 1",,Kate White,"Fiction, Mystery","Hachette Digital, Inc.",2010
2771,Digital,OverDrive,EBOOK,2018,1,2,The Fourteenth Goldfish,,Jennifer L. Holm,"Juvenile Fiction, Juvenile Literature","Random House, Inc.",2014
2774,Digital,OverDrive,EBOOK,2018,1,1,You Too Can Have a Body Like Mine: A Novel,,Alexandra Kleeman,"Fiction, Literature",HarperCollins Publishers Inc.,2015
2780,Digital,OverDrive,EBOOK,2018,1,1,A Man for All Seasons,,Diana Palmer,"Fiction, Romance, Western","Harlequin Enterprises, Ltd.",2011
2799,Digital,OverDrive,EBOOK,2018,1,2,"The Cat, The Quilt and The Corpse: Cats in Trouble Mystery Series, Book 1",,Leann Sweeney,"Fiction, Mystery","Penguin Group (USA), Inc.",2011
2803,Digital,OverDrive,EBOOK,2018,1,1,"The Hostile Hospital: A Series of Unfortunate Events, Book 8",,Lemony Snicket,"Fantasy, Juvenile Fiction",HarperCollins Publishers Inc.,2007
2805,Digital,OverDrive,EBOOK,2018,1,1,Creativity,,Matthew Fox,"New Age, Nonfiction","Penguin Group (USA), Inc.",2009
2813,Digital,OverDrive,EBOOK,2018,1,1,"The Lies that Bind: Neil Hamel Series, Book 5",,Judith Van Gieson,"Fiction, Mystery","Blackstone Audio, Inc.",2013
2828,Digital,OverDrive,EBOOK,2018,1,1,"Sultry with a Twist: Sultry Springs Series, Book 1",,Macy Beckett,"Fiction, Romance",Sourcebooks,2012
2829,Digital,OverDrive,EBOOK,2018,1,2,After Hours,,Jodi L Copeland,"Erotic Literature, Fiction","Random House, Inc.",2006
2837,Digital,OverDrive,EBOOK,2018,1,5,With the Old Breed: At Peleliu and Okinawa,,E.B. Sledge,"Biography & Autobiography, History, Military, Nonfiction","Random House, Inc.",2013
2843,Digital,OverDrive,EBOOK,2018,1,2,"Ricky Ricotta's Mighty Robot vs. the Mecha-Monkeys from Mars: Ricky Ricotta Series, Book 4",,Dav Pilkey,"Juvenile Fiction, Juvenile Literature","Scholastic, Inc. (US)",2015
2850,Digital,OverDrive,EBOOK,2018,1,2,Good Hunting: A Spymaster's Story,,Jack Devine,"Biography & Autobiography, History, Nonfiction, Politics",Macmillan Publishers,2014
2852,Digital,OverDrive,EBOOK,2018,1,1,"The Accidental Highland Hero: Highlander Medieval Series, Book 2",,Terry Spear,"Fiction, Historical Fiction, Romance","Vinspire Publishing, LLC",2012
2862,Digital,OverDrive,EBOOK,2018,1,2,Raising Trump,,Ivana Trump,"Biography & Autobiography, Nonfiction","Simon & Schuster, Inc.",2017
2868,Digital,OverDrive,EBOOK,2018,1,1,"Bad Seeds: PI Jade de Jong Series, Book 5",,Jassy Mackenzie,"Fiction, Mystery","Random House, Inc.",2017
2885,Digital,OverDrive,EBOOK,2018,1,1,Watch Me: A Memoir,,Anjelica Huston,"Biography & Autobiography, Nonfiction","Simon & Schuster, Inc.",2014
2887,Digital,OverDrive,EBOOK,2018,1,4,"Northwest Gardener's Handbook: Your Complete Guide: Select, Plan, Plant, Maintain, Problem-Solve - Oregon, Washington, Northern California, British Columbia",,Pat Munts,"Gardening, Nonfiction",Quarto Publishing Group USA,2015
2890,Digital,OverDrive,EBOOK,2018,1,1,"The Last Little Blue Envelope: Little Blue Envelope Series, Book 2",,Maureen Johnson,Young Adult Fiction,HarperCollins Publishers Inc.,2011
2897,Digital,OverDrive,EBOOK,2018,1,8,Tortall: A Spy's Guide,,Tamora Pierce,"Fantasy, Young Adult Fiction, Young Adult Literature","Random House, Inc.",2017
2898,Digital,OverDrive,EBOOK,2018,1,1,Brokeback Mountain: Now a Major Motion Picture,,Annie Proulx,"Fiction, Literature","Simon & Schuster, Inc.",2014
2900,Digital,OverDrive,EBOOK,2018,1,1,No Book but the World: A Novel,,Leah Hager Cohen,"Fiction, Literature","Penguin Group (USA), Inc.",2014
2903,Digital,OverDrive,EBOOK,2018,1,10,"The Fate of the Tearling: Queen of the Tearling Series, Book 3",,Erika Johansen,"Fantasy, Fiction",HarperCollins Publishers Inc.,2016
2907,Digital,OverDrive,EBOOK,2018,1,2,Love is Blind,,Lynsay Sands,"Fiction, Romance",HarperCollins Publishers Inc.,2011
2908,Digital,OverDrive,EBOOK,2018,1,2,Augustown: A Novel,,Kei Miller,"Fiction, Literature","Random House, Inc.",2017
2920,Digital,OverDrive,EBOOK,2018,1,5,"Best Women's Erotica of the Year, Volume 2",,Rachel Kramer Bussel,"Erotic Literature, Fiction, Literary Anthologies","Simon & Schuster, Inc.",2017
2924,Digital,OverDrive,EBOOK,2018,1,3,Sober Stick Figure: A Memoir,,Amber Tozer,"Biography & Autobiography, Nonfiction","Hachette Digital, Inc.",2016
2925,Digital,OverDrive,EBOOK,2018,1,7,A Mind at Play: How Claude Shannon Invented the Information Age,,Jimmy Soni,"Biography & Autobiography, Computer Technology, Nonfiction, Technology","Simon & Schuster, Inc.",2017
2926,Digital,OverDrive,EBOOK,2018,1,4,National Parks of America: Experience America's 59 National Parks,,Lonely Planet,"Nonfiction, Travel","Lonely Planet Pty, Ltd",2016
2928,Digital,OverDrive,EBOOK,2018,1,1,Tossing and Turning,,John Updike,"Fiction, Poetry","Random House, Inc.",2012
2933,Digital,OverDrive,EBOOK,2018,1,1,The Law of Forgiveness: Tap in to the Positive Power of Forgiveness--and Attract Good Things to Your Life,,Connie Domino,"Nonfiction, Self-Improvement","Penguin Group (USA), Inc.",2009
2939,Digital,OverDrive,EBOOK,2018,1,1,"How America Lost Its Secrets: Edward Snowden, the Man and the Theft",,Edward Jay Epstein,"Nonfiction, Politics, True Crime","Random House, Inc.",2017
2943,Digital,OverDrive,EBOOK,2018,1,4,"Rules of Attraction: The Governess Brides Series, Book 3",,Christina Dodd,"Fiction, Historical Fiction, Romance",HarperCollins Publishers Inc.,2005
2946,Digital,OverDrive,EBOOK,2018,1,3,Godblind,,Anna Stephens,"Fantasy, Fiction, Thriller",Lightning Source Inc,2017
2947,Digital,OverDrive,EBOOK,2018,1,1,The Magic of Reality: How We Know What's Really True,,Richard Dawkins,"Nonfiction, Science, Sociology","Simon & Schuster, Inc.",2014
2950,Digital,OverDrive,EBOOK,2018,1,1,"Risk It: Rule Breakers Series, Book 4",,Jennifer Chance,"Fiction, Romance","Random House, Inc.",2015
2958,Digital,OverDrive,EBOOK,2018,1,2,Brunetti's Venice: Walks with the City's Best-Loved Detective,,Toni Sepeda,"Nonfiction, Travel",Lightning Source Inc,2014
2961,Digital,OverDrive,EBOOK,2018,1,1,The Org: The Underlying Logic of the Office,,Ray Fisman,"Business, Nonfiction, Psychology","Hachette Digital, Inc.",2013
2967,Digital,OverDrive,EBOOK,2018,1,2,"Detection Unlimited: Country House Mysteries Series, Book 12",,Georgette Heyer,"Fiction, Mystery",Sourcebooks,2011
2977,Digital,OverDrive,EBOOK,2018,1,1,Grimm's Last Fairytale: A Novel,,Haydn Middleton,"Fiction, Historical Fiction",Macmillan Publishers,2014
2991,Digital,OverDrive,EBOOK,2018,1,1,"The Navigator: Lorien Legacies: The Lost Files Series, Book 11",,Pittacus Lore,"Science Fiction, Short Stories, Young Adult Fiction",HarperCollins Publishers Inc.,2015
2995,Digital,OverDrive,EBOOK,2018,1,2,"The Retribution of Mara Dyer: Mara Dyer Series, Book 3",,Michelle Hodkin,"Mystery, Young Adult Fiction","Simon & Schuster, Inc.",2014
3001,Digital,OverDrive,EBOOK,2018,1,28,The Tipping Point: How Little Things Can Make a Big Difference,,Malcolm Gladwell,"Business, Nonfiction","Hachette Digital, Inc.",2007
3006,Digital,OverDrive,EBOOK,2018,1,1,"Carpe Corpus: The Morganville Vampires Series, Book 6",,Rachel Caine,"Fantasy, Horror, Young Adult Fiction","Penguin Group (USA), Inc.",2010
3007,Digital,OverDrive,EBOOK,2018,1,1,Nineteenth-Century American Poetry,,Various,"Fiction, Poetry","Penguin Group (USA), Inc.",2011
3018,Digital,OverDrive,EBOOK,2018,1,2,Seven Years to Sin,,Sylvia Day,,Kensington Publishing Corp.,2011
3019,Digital,OverDrive,EBOOK,2018,1,3,"A Cold Treachery: Inspector Ian Rutledge Mystery Series, Book 7",,Charles Todd,"Fiction, Mystery","Random House, Inc.",2010
3020,Digital,OverDrive,EBOOK,2018,1,3,"Blue Collar, White Collar, No Collar: Stories of Work",,Richard Ford,"Fiction, Short Stories",HarperCollins Publishers Inc.,2011
3025,Digital,OverDrive,EBOOK,2018,1,2,The Ballad of Gregoire Darcy: Jane Austen's Pride and Prejudice Continues,,Marsha Altman,"Fiction, Romance",Lightning Source Inc,2013
3026,Digital,OverDrive,EBOOK,2018,1,2,Wish You Were Here: A Novel,,Renée Carlino,"Fiction, Romance","Simon & Schuster, Inc.",2017
3027,Digital,OverDrive,EBOOK,2018,1,2,"Nightshifted: Edie Spence Series, Book 1",,Cassie Alexander,"Fantasy, Fiction, Romance",Macmillan Publishers,2013
3032,Digital,OverDrive,EBOOK,2018,1,1,Second Nature: A Gardener's Education,,Michael  Pollan,"Gardening, Nonfiction",Lightning Source Inc,2014
3038,Digital,OverDrive,EBOOK,2018,1,3,"The Snake, the Crocodile, and the Dog: Amelia Peabody Series, Book 7",,Elizabeth Peters,"Fiction, Historical Fiction, Mystery","Hachette Digital, Inc.",2012
3055,Digital,OverDrive,EBOOK,2018,1,1,Judy Moody es detective,,Megan McDonald,"Juvenile Fiction, Juvenile Literature, Non-English Fiction","Penguin Random House Grupo Editorial, S.A.U.",2017
3057,Digital,OverDrive,EBOOK,2018,1,1,"The Last Chapter: The Cartel Series, Book 3",,Ashley & JaQuavis,"African American Fiction, Fiction, Urban Fiction","Random House, Inc.",2011
3060,Digital,OverDrive,EBOOK,2018,1,1,Inspired & Unstoppable: Wildly Succeeding at Your Life's Work!,,Tama Kieves,"Business, Careers, Nonfiction","Penguin Group (USA), Inc.",2013
3062,Digital,OverDrive,EBOOK,2018,1,1,My Only Christmas Wish,,J.M.  Jeffries,"Fiction, Romance","Harlequin Enterprises, Ltd.",2012
3066,Digital,OverDrive,EBOOK,2018,1,1,"New York Dead: Stone Barrington Series, Book 1",,Stuart Woods,"Fiction, Mystery, Suspense",HarperCollins Publishers Inc.,2009
3067,Digital,OverDrive,EBOOK,2018,1,1,On Death and Dying,,Elisabeth Kübler-Ross,"Family & Relationships, Nonfiction, Psychology","Simon & Schuster, Inc.",2014
3069,Digital,OverDrive,EBOOK,2018,1,1,Vida,,Patricia Engel,"Fiction, Short Stories",Lightning Source Inc,2014
3070,Digital,OverDrive,EBOOK,2018,1,16,"The Ethical Slut: A Practical Guide to Polyamory, Open Relationships, and Other Freedoms in Sexand Love",,Janet W. Hardy,"Family & Relationships, Nonfiction, Philosophy, Self-Improvement","Random House, Inc.",2017
3075,Digital,OverDrive,EBOOK,2018,1,3,On Rue Tatin: Living and Cooking in a French Town,,Susan Herrmann Loomis,"Biography & Autobiography, Cooking & Food, Nonfiction","Random House, Inc.",2013
3080,Digital,OverDrive,EBOOK,2018,1,2,"Nine Women, One Dress: A Novel",,Jane L. Rosen,"Fiction, Humor (Fiction), Literature, Romance","Random House, Inc.",2016
3081,Digital,OverDrive,EBOOK,2018,1,4,Lost Tales of Ga'Hoole,,Kathryn Lasky,"Juvenile Fiction, Mythology","Scholastic, Inc. (US)",2014
3084,Digital,OverDrive,EBOOK,2018,1,1,"Damia: The Tower and Hive Series, Book 2",,Anne McCaffrey,"Fiction, Science Fiction, Thriller","Penguin Group (USA), Inc.",2014
3085,Digital,OverDrive,EBOOK,2018,1,7,A Reckoning in the Back Country: A Samuel Craddock Mystery,,Terry Shames,"Fiction, Mystery","Random House, Inc.",2018
3086,Digital,OverDrive,EBOOK,2018,1,1,CliffsQuickReview Physics,,"Linda Huetinck, Ph.D.","Nonfiction, Study Aids & Workbooks","John Wiley & Sons, Inc.",2010
3093,Digital,OverDrive,EBOOK,2018,1,1,Get Out of Your Own Way: The 5 Keys to Surpassing Everyone's Expectations,,Robert K. Cooper,"Business, Economics, Nonfiction, Self-Improvement","Random House, Inc.",2010
3094,Digital,OverDrive,EBOOK,2018,1,1,Simeon's Story: An Eyewitness Account of the Kidnapping of Emmett Till,,Simeon Wright,"Biography & Autobiography, Young Adult Nonfiction",Independent Publishers Group,2013
3098,Digital,OverDrive,EBOOK,2018,1,5,"One Night of Sin: The Knight Miscellany Series, Book 6",,Gaelen Foley,"Fiction, Historical Fiction, Romance","Random House, Inc.",2013
3118,Digital,OverDrive,EBOOK,2018,1,4,"Rendezvous With Rama: Rama Series, Book 1",,Arthur C. Clarke,"Fiction, Science Fiction",RosettaBooks,2014
3119,Digital,OverDrive,EBOOK,2018,1,1,"Battle with the Britons!: Julius Zebra Series, Book 2",,Gary Northfield,"Humor (Fiction), Juvenile Fiction",Candlewick Press,2018
3129,Digital,OverDrive,EBOOK,2018,1,1,The Last Song,,Nicholas Sparks,"Fiction, Romance","Hachette Digital, Inc.",2009
3137,Digital,OverDrive,EBOOK,2018,1,1,Animal Wise: How We Know Animals Think and Feel,,Virginia Morell,"Nature, Nonfiction, Pets, Science","Random House, Inc.",2013
3148,Digital,OverDrive,EBOOK,2018,1,5,"Holiday Weekend: Buchanan House Series, Book 5",,Charley Descoteaux,"Fiction, Literature, Romance",Dreamspinner Press,2017
3149,Digital,OverDrive,EBOOK,2018,1,4,"Steal the Dragon: Sianim Series, Book 3",,Patricia Briggs,"Fantasy, Fiction","Penguin Group (USA), Inc.",2013
3152,Digital,OverDrive,EBOOK,2018,1,5,Nexus,,Ramez Naam,"Fiction, Science Fiction, Suspense","Random House, Inc.",2013
3158,Digital,OverDrive,EBOOK,2018,1,1,A Malibu Kind of Romance,,Synithia Williams,"African American Fiction, Fiction, Romance","Harlequin Enterprises, Ltd.",2017
3159,Digital,OverDrive,EBOOK,2018,1,2,"Go, Go, Trucks!",,Jennifer Liberts,"Beginning Reader, Juvenile Fiction, Juvenile Literature","Random House, Inc.",2017
3163,Digital,OverDrive,EBOOK,2018,1,2,"The Pursuit: Sherring Cross Series, Book 3",,Johanna Lindsey,"Fiction, Historical Fiction, Romance",HarperCollins Publishers Inc.,2010
3169,Digital,OverDrive,EBOOK,2018,1,1,"Mystery of Smugglers Cove: Hardy Boys Series, Book 64",,Franklin W. Dixon,"Juvenile Fiction, Mystery","Penguin Group (USA), Inc.",2011
3183,Digital,OverDrive,EBOOK,2018,1,25,Practical Magic,,Alice Hoffman,Fiction,"Penguin Group (USA), Inc.",2011
3189,Digital,OverDrive,EBOOK,2018,1,10,"The Color of Fear: A Sharon McCone Mystery Series, Book 33",,Marcia Muller,"Fiction, Literature, Mystery","Hachette Digital, Inc.",2017
3191,Digital,OverDrive,EBOOK,2018,1,1,Long Way Home,,Helenkay Dimon,"Fiction, Romance","Penguin Group (USA), Inc.",2014
3203,Digital,OverDrive,EBOOK,2018,1,2,Spindle Fire,,Lexa Hillyer,"Fantasy, Folklore, Young Adult Fiction, Young Adult Literature",HarperCollins Publishers Inc.,2017
3205,Digital,OverDrive,EBOOK,2018,1,4,"Nobody But You: Cedar Ridge Series, Book 3",,Jill Shalvis,"Fiction, Romance","Hachette Digital, Inc.",2016
3207,Digital,OverDrive,EBOOK,2018,1,2,Rise: The Complete Newsflesh Collection,,Mira Grant,"Fantasy, Fiction, Science Fiction","Hachette Digital, Inc.",2016
3210,Digital,OverDrive,EBOOK,2018,1,1,Autumn Gatherings: Casual Food to Enjoy With Family and Friends,,Rick Rodgers,"Cooking & Food, Nonfiction",HarperCollins Publishers Inc.,2008
3216,Digital,OverDrive,EBOOK,2018,1,2,"Texas Destiny: Leigh Family Series, Book 1",,Lorraine Heath,"Fiction, Historical Fiction, Romance",HarperCollins Publishers Inc.,2011
3218,Digital,OverDrive,EBOOK,2018,1,3,"A Killing in Amish Country: Sex, Betrayal, and a Cold-blooded Murder",,Gregg Olsen,"Nonfiction, True Crime",Macmillan Publishers,2016
3222,Digital,OverDrive,EBOOK,2018,1,1,Ed King,,David Guterson,"Fiction, Literature","Random House, Inc.",2011
3223,Digital,OverDrive,EBOOK,2018,1,1,More How Do They Do That?,,Caroline Sutton,"Nonfiction, Reference",HarperCollins Publishers Inc.,2010
3224,Digital,OverDrive,EBOOK,2018,1,1,"Into the Dark: The Bodyguards Series, Book 6",,Cindy Gerard,"Fiction, Romance, Suspense",Macmillan Publishers,2013
3230,Digital,OverDrive,EBOOK,2018,1,3,"Deeply Odd: Odd Thomas Series, Book 6",,Dean Koontz,"Fantasy, Fiction, Horror, Thriller","Random House, Inc.",2013
3231,Digital,OverDrive,EBOOK,2018,1,2,"Cold Comfort: Gunnhildur Mystery Series, Book 2",,Quentin Bates,"Fiction, Mystery","Random House, Inc.",2012
3235,Digital,OverDrive,EBOOK,2018,1,84,Shrill: Notes from a Loud Woman,,Lindy West,"Biography & Autobiography, Essays, Humor (Nonfiction), Nonfiction","Hachette Digital, Inc.",2016
3248,Digital,OverDrive,EBOOK,2018,1,1,"Grand Avenues: The Story of Pierre Charles L'Enfant, the French Visionary Who DesignedWashington, D.C.",,Scott W. Berg,"Architecture, Biography & Autobiography, History, Nonfiction","Random House, Inc.",2009
3250,Digital,OverDrive,EBOOK,2018,1,1,The New Rules of Running: Five Steps to Run Faster and Longer for Life,,Vijay Vad M.D.,"Health & Fitness, Nonfiction, Sports & Recreations","Penguin Group (USA), Inc.",2014
3252,Digital,OverDrive,EBOOK,2018,1,2,"Crunch Time: Goldy Bear Culinary Mystery Series, Book 16",,Diane Mott Davidson,"Fiction, Mystery",HarperCollins Publishers Inc.,2011
3255,Digital,OverDrive,EBOOK,2018,1,1,Crush the Cell: How to Defeat Terrorism Without Terrorizing Ourselves,,Michael A. Sheehan,"Nonfiction, Politics","Random House, Inc.",2008
3257,Digital,OverDrive,EBOOK,2018,1,1,The Herbal Kitchen: Cooking with Fragrance and Flavor,,Jerry Traunfeld,"Cooking & Food, Nonfiction",HarperCollins Publishers Inc.,2012
3258,Digital,OverDrive,EBOOK,2018,1,2,"In the Bleak Midwinter: Clare Fergusson and Russ Van Alstyne Mystery Series, Book 1",,Julia Spencer-Fleming,"Fiction, Mystery",Macmillan Publishers,2013
3262,Digital,OverDrive,EBOOK,2018,1,1,The Kite Runner: Graphic Novel,,Khaled Hosseini,"Comic and Graphic Books, Fiction, Literature","Penguin Group (USA), Inc.",2011
3271,Digital,OverDrive,EBOOK,2018,1,1,How You Do... What You Do: Create Service Excellence That Wins Clients For Life,,Bob Livingston,"Business, Nonfiction",McGraw-Hill Professional,2008
3278,Digital,OverDrive,EBOOK,2018,1,1,Letters to a Young Muslim,,Omar Saif Ghobash,"Nonfiction, Religion & Spirituality, Sociology",Macmillan Publishers,2017
3283,Digital,OverDrive,EBOOK,2018,1,2,Outlander: Anteriormente publicado como Forastera,,Diana Gabaldon,"Fantasy, Fiction, Romance",Libranda. Distribuidora digital de Libros S.A.,2017
3288,Digital,OverDrive,EBOOK,2018,1,2,Our Tragic Universe,,Scarlett Thomas,"Fiction, Literature",Houghton Mifflin Harcourt Trade and Reference,2013
3290,Digital,OverDrive,EBOOK,2018,1,1,Prisoner of My Desire,,Johanna Lindsey,"Fiction, Historical Fiction, Romance",HarperCollins Publishers Inc.,2011
3292,Digital,OverDrive,EBOOK,2018,1,1,"Jackpot: Swindle Mystery Series, Book 6",,Gordon Korman,"Humor (Fiction), Juvenile Fiction","Scholastic, Inc. (US)",2014
3299,Digital,OverDrive,EBOOK,2018,1,3,The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,,Michael E. Gerber,"Business, Nonfiction",HarperCollins Publishers Inc.,2015
3308,Digital,OverDrive,EBOOK,2018,1,1,The Unexpected Everything,,Morgan Matson,"Romance, Young Adult Fiction, Young Adult Literature","Simon & Schuster, Inc.",2016
3329,Digital,OverDrive,EBOOK,2018,1,1,A Short History of the American Revolution,,James L. Stokesbury,"History, Nonfiction",HarperCollins Publishers Inc.,2008
3337,Digital,OverDrive,EBOOK,2018,1,11,The Bell Jar: A Novel,,Sylvia Plath,"Fiction, Literature",HarperCollins Publishers Inc.,2015
3338,Digital,OverDrive,EBOOK,2018,1,1,Watching Eagles Soar,,Margaret Coel,"Fiction, Mystery","Penguin Group (USA), Inc.",2013
3340,Digital,OverDrive,EBOOK,2018,1,10,How Not to Hate Your Husband After Kids,,Jancee Dunn,"Family & Relationships, Nonfiction, Self-Improvement","Hachette Digital, Inc.",2017
3342,Digital,OverDrive,EBOOK,2018,1,12,Middlemarch: A Study of Provincial Life,,George Eliot,"Classic Literature, Fiction",Duke Classics,2011
3344,Digital,OverDrive,EBOOK,2018,1,3,Sisters in Sanity,,Gayle Forman,"Romance, Young Adult Fiction",HarperCollins Publishers Inc.,2013
3346,Digital,OverDrive,EBOOK,2018,1,2,The Danger,,Dick Francis,"Fiction, Mystery","Penguin Group (USA), Inc.",2013
3347,Digital,OverDrive,EBOOK,2018,1,1,"Handmade Gifts: Stylish Ideas for Journals, Stationery, and More",,Linda Blinn,"Crafts, Nonfiction",Quarto Publishing Group USA,2010
3366,Digital,OverDrive,EBOOK,2018,1,4,Hold Tight,,Harlan Coben,"Fiction, Suspense, Thriller","Penguin Group (USA), Inc.",2010
3370,Digital,OverDrive,EBOOK,2018,1,1,Something Like Love,,Beverly Jenkins,"Fiction, Historical Fiction, Romance",HarperCollins Publishers Inc.,2012
3372,Digital,OverDrive,EBOOK,2018,1,3,Pretty Baby,,Mary  Kubica,"Fiction, Thriller","Harlequin Enterprises, Ltd.",2015
3375,Digital,OverDrive,EBOOK,2018,1,3,"Tempt the Stars: Cassandra Palmer Series, Book 6",,Karen Chance,"Fantasy, Fiction","Penguin Group (USA), Inc.",2013
3377,Digital,OverDrive,EBOOK,2018,1,2,"School Days According to Humphrey: Humphrey Series, Book 7",,Betty G. Birney,"Humor (Fiction), Juvenile Fiction","Penguin Group (USA), Inc.",2011
3385,Digital,OverDrive,EBOOK,2018,1,1,"The German War: A Nation Under Arms, 1939-1945",,Nicholas Stargardt,"History, Military, Nonfiction","Hachette Digital, Inc.",2015
3392,Digital,OverDrive,EBOOK,2018,1,3,Drawing in the Digital Age: An Observational Method for Artists and Animators,,"Wei Xu, Ph.D.","Computer Technology, Nonfiction","John Wiley & Sons, Inc.",2012
3393,Digital,OverDrive,EBOOK,2018,1,2,"Perfect Shadow: Night Angel Trilogy, Book 0.5",,Brent Weeks,"Fantasy, Fiction, Short Stories, Thriller","Hachette Digital, Inc.",2017
3401,Digital,OverDrive,EBOOK,2018,1,5,The Blinds,,Adam Sternbergh,"Fiction, Suspense, Thriller, Western",HarperCollins Publishers Inc.,2017
3402,Digital,OverDrive,EBOOK,2018,1,7,Judas,,Amos Oz,"Fiction, Literature",Houghton Mifflin Harcourt Trade and Reference,2016
3403,Digital,OverDrive,EBOOK,2018,1,1,Road Ends: A Novel,,Mary Lawson,"Fiction, Literature","Random House, Inc.",2014
3408,Digital,OverDrive,EBOOK,2018,1,1,Pop,,Gordon Korman,"Young Adult Fiction, Young Adult Literature",HarperCollins Publishers Inc.,2012
3414,Digital,OverDrive,EBOOK,2018,1,1,Indiscriminate Attraction,,Linda  Hudson-Smith,"Fiction, Romance","Harlequin Enterprises, Ltd.",2008
3416,Digital,OverDrive,EBOOK,2018,1,1,Full House: The Spread of Excellence from Plato to Darwin,,Stephen Jay Gould,"Nonfiction, Science","Random House, Inc.",2010
